cif_path,voidfraction[widom],density[kg/m^3],surfacearea[m^2/g],LCD[A],PLD[A],H%,N%,O%,C%
../hCOF/linker100_CH2_linker105_NH_pts_relaxed.cif,0.734887,455.0974406,4260.22,11.18091,8.72567,40,6.666666667,6.666666667,46.66666667
../hCOF/linker100_CH2_linker10_NH_qtz_relaxed.cif,0.883632,229.0035346,6202.93,16.67294,15.77792,32.35294118,11.76470588,14.70588235,41.17647059
../hCOF/linker100_CH2_linker10_NH_und_relaxed.cif,0.902575,198.302752,6342.94,21.06841,18.8902,32.35294118,11.76470588,14.70588235,41.17647059
../hCOF/linker100_CH2_linker11_NH_qtz_relaxed.cif,0.888101,200.5505819,6870.17,18.34169,17.37766,44.73684211,15.78947368,2.631578947,36.84210526
../hCOF/linker100_CH2_linker11_NH_unc_relaxed.cif,0.906997,173.8758558,7004.45,23.03545,22.69387,44.73684211,15.78947368,2.631578947,36.84210526
../hCOF/linker100_CH2_linker12_NH_qtz_relaxed.cif,0.889819,209.9723274,6619.28,17.4426,16.02206,38.23529412,5.882352941,14.70588235,41.17647059
../hCOF/linker100_CH2_linker12_NH_qtz_relaxed_interp_2.cif,0.749873,419.9446548,4787.45,13.296,9.9625,38.23529412,5.882352941,14.70588235,41.17647059
../hCOF/linker100_CH2_linker12_NH_und_relaxed.cif,0.905992,182.6935979,6752.07,22.49817,20.39488,38.23529412,5.882352941,14.70588235,41.17647059
../hCOF/linker100_CH2_linker13_NH_qtz_relaxed.cif,0.868924,201.9955998,7137.64,16.85214,15.71722,50,4.761904762,2.380952381,42.85714286
../hCOF/linker100_CH2_linker14_NH_qtz_relaxed.cif,0.92665,124.5614808,8234.31,20.99207,18.55926,43.75,4.166666667,6.25,45.83333333
../hCOF/linker100_CH2_linker14_NH_qtz_relaxed_interp_2.cif,0.850497,249.1229615,7382.93,17.42803,16.60402,43.75,4.166666667,6.25,45.83333333
../hCOF/linker100_CH2_linker15_NH_sod_relaxed.cif,0.956977,78.11903131,8280.95,48.83576,26.19763,42.85714286,7.142857143,2.380952381,47.61904762
../hCOF/linker100_CH2_linker15_NH_sod_relaxed_interp_2.cif,0.911124,156.2380626,7693.55,33.39326,26.02794,42.85714286,7.142857143,2.380952381,47.61904762
../hCOF/linker100_CH2_linker17_NH_qtz_relaxed.cif,0.924906,145.027346,7413.86,21.69071,20.15637,35.41666667,12.5,10.41666667,41.66666667
../hCOF/linker100_CH2_linker17_NH_qtz_relaxed_interp_2.cif,0.841963,290.054692,5928.44,20.23872,19.15697,35.41666667,12.5,10.41666667,41.66666667
../hCOF/linker100_CH2_linker18_NH_qtz_relaxed.cif,0.924719,143.5330947,7277.46,22.10648,20.71795,35.41666667,12.5,10.41666667,41.66666667
../hCOF/linker100_CH2_linker18_NH_qtz_relaxed_interp_2.cif,0.837256,287.0661895,5831.7,20.75264,19.22826,35.41666667,12.5,10.41666667,41.66666667
../hCOF/linker100_CH2_linker19_NH_und_relaxed.cif,0.951128,90.72396587,8413.83,34.2214,32.25273,42.5,5,2.5,50
../hCOF/linker100_CH2_linker19_NH_und_relaxed_interp_2.cif,0.897021,181.4479317,7489.96,22.71141,20.68616,42.5,5,2.5,50
../hCOF/linker100_CH2_linker1_NH_und_relaxed.cif,0.915961,152.2253082,7658.02,24.81659,22.09537,43.75,9.375,3.125,43.75
../hCOF/linker100_CH2_linker23_NH_qtz_relaxed.cif,0.928988,136.4986021,7564.87,20.26804,18.47271,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker23_NH_qtz_relaxed_interp_2.cif,0.855803,272.9972042,6912.98,18.19252,16.58783,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker24_NH_umq_relaxed.cif,0.94202,113.7552469,7515.24,36.65121,32.35695,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker25_NH_qtz_relaxed.cif,0.93239,134.7317314,7590.37,22.57589,21.32959,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker25_NH_qtz_relaxed_interp_2.cif,0.857826,269.4634628,6262.36,21.27045,20.42603,34.09090909,9.090909091,11.36363636,45.45454545
../hCOF/linker100_CH2_linker28_NH_qtz_relaxed.cif,0.937291,118.798882,7593.21,22.15281,20.72943,38.0952381,7.142857143,7.142857143,47.61904762
../hCOF/linker100_CH2_linker28_NH_qtz_relaxed_interp_2.cif,0.862639,237.5977641,5998.32,21.81889,19.80612,38.0952381,7.142857143,7.142857143,47.61904762
../hCOF/linker100_CH2_linker28_NH_qtz_relaxed_interp_3.cif,0.778676,356.3966461,4784.9,21.67439,19.6966,38.0952381,7.142857143,7.142857143,47.61904762
../hCOF/linker100_CH2_linker28_NH_und_relaxed.cif,0.946922,104.3191383,7820.27,31.35419,28.74422,38.0952381,7.142857143,7.142857143,47.61904762
../hCOF/linker100_CH2_linker28_NH_und_relaxed_interp_2.cif,0.886962,208.6382766,6830.62,23.3034,19.02267,38.0952381,7.142857143,7.142857143,47.61904762
