cif_path,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
../ARCMOF/DB0-m1_o12_o58_muo_repeat.cif,0.398707,4511.09,0.52384,1.31385,21.15484,20.59699
../ARCMOF/DB0-m1_o12_pcu_repeat.cif,0.510893,4074.91,0.4522,0.885117,13.28378,9.6103
../ARCMOF/DB0-m1_o12_qtz-x_repeat.cif,0.8106,3057.93,0.14932,0.184209,7.82096,4.85338
../ARCMOF/DB0-m1_o12_skd_repeat.cif,0.793032,2806.77,0.2305,0.290657,9.35665,7.90785
../ARCMOF/DB0-m1_o12_ske_repeat.cif,0.544198,4013.88,0.41846,0.768947,13.69514,9.11694
../ARCMOF/DB0-m1_o12_smd_repeat.cif,0.532035,3938.74,0.43398,0.815698,16.64506,14.71261
../ARCMOF/DB0-m1_o12_smk_repeat.cif,0.540916,3856.28,0.42452,0.784816,17.37231,16.59798
../ARCMOF/DB0-m1_o12_sml_repeat.cif,0.558624,3911.91,0.40322,0.72181,15.71167,14.80224
../ARCMOF/DB0-m1_o12_smm_repeat.cif,0.490714,3963.11,0.4765,0.971035,16.5647,16.13346
../ARCMOF/DB0-m1_o12_sne_repeat.cif,0.541667,3821.39,0.42524,0.785058,13.97439,10.13707
../ARCMOF/DB0-m1_o12_snk_repeat.cif,0.567401,4003.33,0.39054,0.688296,11.26122,8.28888
../ARCMOF/DB0-m1_o12_snl_repeat.cif,0.548974,4023.3,0.4109,0.748487,12.05826,9.53502
../ARCMOF/DB0-m1_o12_sno_repeat.cif,0.497919,3186.99,0.5052,1.01462,21.06627,20.63286
../ARCMOF/DB0-m1_o12_snz_repeat.cif,0.519414,3897.22,0.44516,0.857043,17.87349,14.94888
../ARCMOF/DB0-m1_o12_som_repeat.cif,0.54697,4013.02,0.41192,0.753094,12.52964,8.79132
../ARCMOF/DB0-m1_o12_stb_repeat.cif,0.579517,3772.91,0.38758,0.668798,13.47766,6.69296
../ARCMOF/DB0-m1_o12_stc_repeat.cif,0.562083,4005.91,0.39938,0.710535,11.83168,7.69167
../ARCMOF/DB0-m1_o12_sxc_repeat.cif,0.616074,3480.79,0.36012,0.58454,10.55219,8.59348
../ARCMOF/DB0-m1_o12_tfs_repeat.cif,0.511467,3997.32,0.4531,0.885884,17.27891,15.14609
../ARCMOF/DB0-m1_o12_vbm_repeat.cif,0.55598,3973.32,0.40398,0.726609,13.24419,9.643
../ARCMOF/DB0-m1_o12_vbn_repeat.cif,0.526348,3921.06,0.43468,0.825842,12.72045,10.70127
../ARCMOF/DB0-m1_o12_vby_repeat.cif,0.54518,3961.05,0.41564,0.762391,13.40378,9.29839
../ARCMOF/DB0-m1_o12_vcc_repeat.cif,0.550614,3990.07,0.40838,0.741682,12.93017,8.71834
../ARCMOF/DB0-m1_o12_vcf_repeat.cif,0.579724,3818.87,0.37852,0.652932,12.39514,10.28378
../ARCMOF/DB0-m1_o12_vmd_repeat.cif,0.580722,3668.17,0.389,0.669856,11.58974,10.18001
../ARCMOF/DB0-m1_o12_vmg_repeat.cif,0.55985,3785.97,0.41078,0.733732,12.25462,9.10407
../ARCMOF/DB0-m1_o12_vmh_repeat.cif,0.587367,3451.24,0.39692,0.675761,13.42759,10.49714
../ARCMOF/DB0-m1_o12_vmi_repeat.cif,0.575198,3132.28,0.42666,0.741762,14.18365,12.00903
../ARCMOF/DB0-m1_o12_whv_repeat.cif,0.526855,3855.96,0.436,0.827553,14.50306,10.35824
../ARCMOF/DB0-m1_o12_wiv_repeat.cif,0.5738,3832.34,0.38536,0.671593,12.21376,8.97393
../ARCMOF/DB0-m1_o12_wkh_repeat.cif,0.536305,3976.84,0.4244,0.791341,13.83886,9.92157
../ARCMOF/DB0-m1_o12_wmb_repeat.cif,0.602719,3454.55,0.36444,0.60466,12.68849,10.75115
../ARCMOF/DB0-m1_o12_wmi_repeat.cif,0.503655,4001.35,0.46942,0.932028,17.64794,8.92671
../ARCMOF/DB0-m1_o12_wna_repeat.cif,0.582153,3912.07,0.38402,0.659655,14.97186,7.81849
../ARCMOF/DB0-m1_o13_afw-e_repeat.cif,0.430308,3472.68,0.54244,1.26058,24.11454,13.06511
../ARCMOF/DB0-m1_o13_bsn_repeat.cif,0.511528,4110.8,0.41968,0.820444,11.46013,10.15263
../ARCMOF/DB0-m1_o13_flu-e_repeat.cif,0.469558,3835.02,0.47278,1.00686,22.98864,7.94798
../ARCMOF/DB0-m1_o13_o13_f0_pcu_repeat.cif,0.445511,4470.63,0.47752,1.07185,12.94197,11.14031
../ARCMOF/DB0-m1_o13_o16_f0_pcu_repeat.cif,0.459612,4305.29,0.46602,1.01394,14.34049,10.95619
../ARCMOF/DB0-m1_o13_o18_f0_pcu_repeat.cif,0.42308,4700.18,0.48632,1.14947,12.05867,11.39974
../ARCMOF/DB0-m1_o13_o21_f0_pcu_repeat.cif,0.389409,4846.48,0.53942,1.38523,16.06485,11.6561
../ARCMOF/DB0-m1_o13_o26_f0_pcu_repeat.cif,0.363947,4869.52,0.55648,1.52901,15.57973,11.34295
../ARCMOF/DB0-m1_o13_o30_mcn_repeat.cif,0.748138,2897.3,0.28534,0.3814,9.16337,6.72313
../ARCMOF/DB0-m1_o13_o31_muo_repeat.cif,0.496101,4226.87,0.43436,0.875547,17.47045,16.90575
../ARCMOF/DB0-m1_o13_o35_fsc_repeat.cif,0.577782,3520.82,0.33582,0.581223,10.22214,9.15494
