index,value,VF,vSA,gSA,PLD,LCD,DR,log_Kxe,log_Kkr,K_selec
66,3.036503470652399,0.4054,585.7719999999998,348.21,5.81418,5.92566,1.019173812988246,-6.969275427,-10.68972857,5.106747505259763
50,1.6350885167506428,0.454,456.212,265.831,3.85295,5.48974,1.4248147523326284,-6.991890433,-10.31536719,4.709771118303725
46,3.2036681103178046,0.4682,785.544,634.715,3.91364,4.43355,1.1328456373095124,-2.856255589,-6.494943888,5.024982659545328
54,2.537062473972147,0.5256,1054.79,818.961,5.31331,5.9443,1.1187564813647235,-5.008430726,-8.986133386,5.363997021485312
97,2.6644151626397803,0.4238,502.012,227.343,4.2576800000000015,5.85254,1.3745842806411004,-8.556932439,-11.77604892,4.605410839682733
24,1.1173563067202803,0.4874,1087.15,846.2739999999999,3.93435,5.00451,1.2720042700827328,-7.034874133,-9.693623789,4.045044016595925
20,2.702303577751261,0.5566,1432.82,1240.99,3.89327,5.20085,1.3358564908162034,-4.864339958,-8.603857356,5.125811758800476
69,2.1260291713460564,0.6146,2204.93,1590.39,4.58891,5.43312,1.1839674345323834,-7.812253319,-10.33553588,3.9095769266465688
38,2.5138657843021646,0.542,1748.44,807.285,5.85025,6.15808,1.0526182641767443,-3.047512002,-7.627907845,5.9666902036289216
5,1.5749913379707614,0.5026,948.305,523.222,4.04921,4.7727,1.1786743587020678,-8.176028411,-10.88232945,4.092595399
