index,value,VF,vSA,gSA,PLD,LCD,DR,log_Kxe,log_Kkr,K_selec
7,1.5854338581203131,0.4682,913.695,479.276,3.9715,4.73097,1.1912300138486718,-8.201149635,-10.84243297,4.027577700930583
86,1.6352873827205379,0.5468,1380.73,902.948,4.38157,6.6085699999999985,1.5082653021633798,-6.920270266,-10.01393878,4.479962877057983
29,1.5792632454661284,0.5062,1177.53,1066.62,4.62167,5.96211,1.290033689121032,-6.08943025,-9.394828274,4.691692385027486
0,4.928084225038168,0.4118,418.49,269.806,3.32948,4.9396900000000015,1.4836220671095786,-2.591881802,-7.507639829,6.302052388599452
72,2.300778313027357,0.6752,2263.15,2090.61,5.90611,6.16099,1.0431553086549352,-8.240220763,-10.78008172,3.9261553210492495
82,1.47968836333321,0.4314,840.7510000000002,423.782,4.8930099999999985,7.1261100000000015,1.4563857421096624,-6.041520712,-9.851322139,5.1960957873566835
16,2.883932347356917,0.513,1121.27,920.046,6.10482,6.8639800000000015,1.1243541988133965,-7.025955652,-10.07789332,4.438232031413584
26,-0.607821477265726,0.35600000000000004,318.947,136.059,3.5721199999999995,3.84352,1.0759772907965015,-7.833965042,-7.772642598,1.3249719164526497
56,2.145941991993201,0.5808,1640.7,1489.79,5.12689,5.99825,1.1699587859306515,-6.677683781,-9.7662732,4.474883780057599
64,2.071785603728509,0.61,1670.63,1605.18,6.5475400000000015,8.32882,1.2720533207891822,-6.176642981,-9.06074864,4.270400020033444
9,1.5690902270208937,0.464,879.845,446.707,3.92183,4.69665,1.197565932230617,-8.168894732,-10.87216692,4.0895665439458435
95,2.1330553844431765,0.6394,2007.79,2049.12,5.01976,7.8603,1.5658716751398474,-8.406573529,-10.6528369,3.6325577301806766
39,2.1409789933477263,0.6162,1848.9,1767.06,5.53143,7.3732,1.332964531775689,-5.749595026,-9.245704372,4.882403706621265
85,1.1989731776541044,0.4138,774.4739999999998,395.845,4.856319999999998,5.15455,1.0614106978123352,-7.961743211,-10.61104608,4.035597229340368
80,1.300398179075171,0.5116,1360.22,781.89,3.5428800000000003,4.49188,1.2678611750891928,-8.548694178,-10.50971603,3.347316209708522
83,2.4573931365094657,0.4838,996.607,914.419,5.54656,6.71352,1.210393469105175,-7.181115073,-10.35769343,4.562872713820705
40,1.567916610916484,0.7062,3178.07,3314.45,4.46842,5.7583,1.288665792,-10.02180723,-11.6487429,3.0132300261244023
35,1.8053718807215295,0.6002,1494.27,1105.59,5.5321099999999985,6.09101,1.101028359884384,-8.793197054,-11.09832884,3.691426150394984
93,1.7842897250498098,0.434,677.8,355.702,3.96262,5.78407,1.4596580040478269,-6.243949374,-9.858961706,5.001306693
58,2.076831013881516,0.4856,796.3,637.5219999999998,3.41581,4.49346,1.315488859157857,-5.085419726,-8.088353412,4.3892280473451475
52,1.3186635355319005,0.4904,942.082,613.56,3.83278,5.40135,1.4092512484410793,-7.444457841,-10.2110649,4.152901416319528
12,3.610288777319521,0.5364,1184.81,898.1210000000002,4.16445,4.86958,1.1693212789203855,-5.054991652,-8.461857827,4.793160536203353
21,2.5694089353254173,0.5544,1433.77,1138.35,3.94888,5.20115,1.317120297400782,-4.96122675,-8.65756507,5.082632681
81,1.9567627403824401,0.5024,1066.44,780.005,4.32303,5.2765,1.2205559526535787,-5.901572656,-9.396510927,4.881232631669444
70,2.4901541266879925,0.5056,1346.33,759.804,6.25183,6.77693,1.083991407315938,-8.412229755,-11.19277136,4.166835968657722
49,1.0646320397843443,0.4886,944.037,594.207,3.82743,5.54781,1.4494869925772649,-7.493471489,-10.16442903,4.0572519020091375
17,3.41503463239443,0.4594,912.456,525.866,3.73403,5.10081,1.3660334812521593,-7.498584167,-10.68045992,4.568170113
27,1.9980634482878257,0.4952,782.38,673.2180000000002,5.80535,7.28268,1.2544773355611634,-7.699889993,-10.40231873,4.0887231000445015
1,2.1951701002760426,0.5646,1747.69,466.934,4.424919999999998,5.87931,1.3286816484817805,-9.885684963,-12.21344576,3.714055158180732
48,1.6312332271281784,0.4672,473.912,289.33,3.76943,5.50949,1.4616241712938032,-7.187254919,-10.36112634,4.560165784552681
6,1.6229820514889104,0.4864,905.952,490.198,4.0168,4.74458,1.181184027086238,-8.14462669,-10.8293136,4.070981273
57,2.100848382370354,0.6409999999999999,1565.63,1585.8,6.994210000000002,8.19182,1.1712287735140925,-4.159100707,-6.714559726,3.941753379718208
