index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
148525,3.469059119624743,0.640478,4135.11,0.23488,0.366726,7.24658,5.80496
138760,-0.4036355696678391,0.367231,4510.65,0.54188,1.47558,18.42051,15.28501
69240,2.3531641634124365,0.50797,3909.97,0.33888,0.667126,10.07586,8.51097
83340,2.354386764675004,0.623954,3165.46,0.26734,0.428461,9.65513,7.69042
142214,4.036668912312538,0.469765,4134.43,0.4386,0.933657,12.2795,10.61888
70979,4.032136049650728,0.931936,1732.36,0.14192,0.152285,8.19885,7.2537
131295,4.071946629743673,0.646926,4322.72,0.23276,0.359794,7.28602,5.71642
138269,-1.6017478770345537,0.256277,5809.9,0.6567,2.56247,19.55167,13.57274
135254,-0.8002752855684059,0.564135,5073.5,0.27888,0.49435,8.36941,6.71654
64095,2.294305117395956,0.476394,4236.13,0.40536,0.850892,12.93168,11.80603
149077,2.1458700427955653,0.566789,3053.13,0.32324,0.5703,12.75136,10.12072
18698,-0.2909645160996958,0.605457,4264.52,0.28372,0.468605,10.1372,5.90259
25310,0.385629884807482,0.441446,5340.67,0.42526,0.963335,10.88173,7.86389
9174,2.577461810554166,0.768208,2634.27,0.26894,0.350088,9.43349,7.12541
108386,4.106243541516757,0.671481,2482.22,0.28132,0.418955,11.66294,11.55373
142073,2.411671108131865,0.561453,5204.3,0.19534,0.347919,7.13818,5.43379
144422,1.4797263323209224,0.811865,3064.84,0.14082,0.173452,6.5485,5.1177
141709,3.855601546985277,0.65473,3608.38,0.11528,0.176073,6.52099,5.00786
12498,2.1401829180209386,0.522313,3783.92,0.36786,0.704291,11.84495,11.46879
149315,2.8063909479033273,0.580589,3510.44,0.337,0.580445,11.16818,10.77656
111776,4.5385487936428195,1.14815,931.419,0.04472,0.0389497,6.26562,4.63392
31678,0.8710537143316763,0.414626,4939.15,0.41896,1.01045,12.52647,10.43015
140277,2.478898649890835,0.675198,4365.75,0.11842,0.175386,6.12921,4.7442
140301,1.447892571643245,0.667492,4373.3,0.11724,0.175643,6.12637,4.93937
83096,3.024910585380528,0.68038,3083.24,0.12958,0.190452,7.23899,5.44341
54014,7.020145145033302,0.814401,2842.98,0.12896,0.158349,6.57544,5.19164
115327,1.129285114699284,1.66346,295.878,0.0563,0.033845,8.28846,8.04837
107676,4.705114477480572,1.05658,351.991,0.0273,0.025838,6.9019,6.74548
140844,4.93166835303272,0.854172,627.349,0.00984,0.0115199,4.84316,4.42328
115949,6.5623180706775655,0.826455,929.79,0.02848,0.0344604,5.5219,5.04903
143387,3.1176903667980342,0.87312,781.862,0.01848,0.0211655,4.98408,4.49343
64532,5.770238778972326,0.842878,951.45,0.02138,0.0253655,5.23932,4.13456
108683,3.7108189159233693,0.832808,999.561,0.05796,0.0695959,6.36104,5.85666
96394,5.067291423913731,0.796112,928.143,0.03922,0.0492644,6.53528,5.31572
118295,6.235662129694689,1.63378,492.563,0.02476,0.015155,5.03625,4.95927
145934,2.3623066747863715,0.805337,1274.91,0.02208,0.0274171,5.13445,4.43922
143457,2.944850887586525,0.967493,1375.28,0.01996,0.0206306,4.64069,4.26041
107850,6.2537744033213265,1.14078,290.8,0.026,0.0227914,6.83094,6.43925
106209,4.195094670622102,1.54792,308.167,0.02126,0.0137346,6.23583,4.55866
113445,2.199688396863002,0.79847,1219.08,0.03634,0.0455121,5.55298,4.79422
115412,2.8157437976941835,1.6905,174.576,0.01418,0.00838807,6.22483,5.35278
35881,5.909090729693134,1.36148,743.281,0.0416,0.0305551,5.32943,5.1729
107481,5.7282822984799395,1.06603,391.314,0.0229,0.0214815,6.04299,5.76299
114267,2.4977140707250935,1.51867,332.592,0.02512,0.0165408,5.83174,5.68454
114268,2.4532079859990694,1.51867,332.592,0.02512,0.0165408,5.83174,5.68454
114189,2.2654306016587604,1.21798,387.37,0.0215,0.0176521,5.82315,5.32709
108691,2.7509839371685536,1.09515,478.25,0.02356,0.0215131,5.80547,5.6304
3352,3.7912200734002237,0.864736,620.339,0.02124,0.0245624,6.83247,4.41097
106691,8.353891350844384,1.05571,380.196,0.01936,0.0183384,5.83743,5.47592
20981,4.4037939812625995,0.840544,1079.28,0.05914,0.0703592,6.38232,5.89943
107859,3.4562517741718235,0.939358,441.451,0.02528,0.026912,6.0494,5.73821
112358,6.817133112084605,0.965089,561.315,0.03332,0.0345253,6.23406,5.46246
111085,5.558293565962647,1.22173,267.594,0.01634,0.0133745,5.88686,5.42252
113434,2.255265219797896,1.0543,531.136,0.02574,0.0244143,5.93178,5.47948
117936,4.9009288374607385,1.07101,387.573,0.0177,0.0165265,5.81801,5.28593
108877,5.591296514045203,0.971561,452.534,0.01948,0.0200502,6.29127,4.64258
108322,3.907729640476793,0.973751,435.322,0.01752,0.0179923,5.88179,5.14381
116991,4.985022024753184,1.02022,518.477,0.02276,0.0223089,6.63592,4.29496
106930,5.672555347561687,1.01769,555.586,0.03108,0.0305397,6.09032,5.18967
84140,3.820387295368218,1.05594,485.086,0.02158,0.0204367,6.30755,4.58509
47319,4.452561111931492,1.01569,459.537,0.01644,0.0161861,6.12886,4.61438
106649,8.162657051717916,1.06037,363.144,0.0173,0.016315,5.64313,5.41661
46621,6.037150000445907,1.07553,625.283,0.03064,0.0284882,6.45735,4.11506
106096,6.815559556830788,0.957318,779.285,0.05922,0.0618603,6.55369,6.17999
76310,6.3427240578092725,1.07659,385.463,0.01674,0.015549,5.89512,4.71061
106057,3.811036960974436,1.08322,566.611,0.0373,0.0344344,6.15897,5.66839
106276,6.166650327340236,1.09135,501.742,0.0189,0.017318,5.87262,5.36023
105726,2.255894446322612,1.0792,564.656,0.0343,0.0317829,6.08414,5.50794
107012,4.964464830474074,0.985835,542.957,0.03682,0.0373491,7.06731,6.81438
