index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
148525,3.469059119624743,0.640478,4135.11,0.23488,0.366726,7.24658,5.80496
138760,-0.4036355696678391,0.367231,4510.65,0.54188,1.47558,18.42051,15.28501
69240,2.3531641634124365,0.50797,3909.97,0.33888,0.667126,10.07586,8.51097
83340,2.354386764675004,0.623954,3165.46,0.26734,0.428461,9.65513,7.69042
142214,4.036668912312538,0.469765,4134.43,0.4386,0.933657,12.2795,10.61888
70979,4.032136049650728,0.931936,1732.36,0.14192,0.152285,8.19885,7.2537
131295,4.071946629743673,0.646926,4322.72,0.23276,0.359794,7.28602,5.71642
138269,-1.6017478770345537,0.256277,5809.9,0.6567,2.56247,19.55167,13.57274
135254,-0.8002752855684059,0.564135,5073.5,0.27888,0.49435,8.36941,6.71654
64095,2.294305117395956,0.476394,4236.13,0.40536,0.850892,12.93168,11.80603
149077,2.1458700427955653,0.566789,3053.13,0.32324,0.5703,12.75136,10.12072
18698,-0.2909645160996958,0.605457,4264.52,0.28372,0.468605,10.1372,5.90259
119064,nan,0.41709,4460.73,0.4969,1.19135,15.45685,12.68096
